Price Period,Town,Super,Diesel,Kerosene,TOWNS,Super , Diesel,                      TOWNS, Diesel ,Kerosene ,Petrol,TOWN,Super Petrol,Period
15th September 2022 –14th October 2022,,180.21,,,Sotik,,166.42,,,149.38,,,,
15th September 2022 –14th October 2022,,180.39,,,Keroka,,166.6,,,149.56,,,,
15th September 2022 –14th October 2022,,180.36,,,Busia,,166.57,,,149.54,,,,
15th September 2022 –14th October 2022,,180.31,,,Homabay,,166.52,,,149.48,,,,
15th September 2022 –14th October 2022,,181.17,,,Migori,,167.37,,,150.34,,,,
15th September 2022 –14th October 2022,,181.45,,,Isebania,,167.66,,,150.62,,,,
15th September 2022 –14th October 2022,,180.61,,,Bomet,,166.82,,,149.78,,,,
15th September 2022 –14th October 2022,,179.72,,,Muhoroni,,165.93,,,148.9,,,,
15th September 2022 –14th October 2022,,180.3,,,Mbita,,166.5,,,149.47,,,,
15th September 2022 –14th October 2022,,179.5,,,Mbale,,165.7,,,148.66,,,,
15th September 2022 –14th October 2022,,180.94,,,Etago,,167.15,,,150.12,,,,
15th September 2022 –14th October 2022,,181.05,,,Magenche,,167.26,,,150.22,,,,
15th September 2022 –14th October 2022,,180.88,,,Kilgoris,,167.09,,,150.06,,,,
15th September 2022 –14th October 2022,,179.86,,,Malava,,166.06,,,149.03,,,,
15th September 2022 –14th October 2022,,180.25,,,Lugari,,166.45,,,149.42,,,,
15th September 2022 –14th October 2022,,180.37,,,Rodi Kopany,,166.58,,,149.55,,,,
15th September 2022 –14th October 2022,,180.65,,,Ndhiwa,,166.86,,,149.82,,,,
15th September 2022 –14th October 2022,,180.36,,,Rangwe,,166.57,,,149.54,,,,
15th September 2022 –14th October 2022,,180.37,,,Sindo,,166.58,,,149.55,,,,
15th September 2022 –14th October 2022,,179.45,,,Awasi,,165.66,,,148.63,,,,
15th September 2022 –14th October 2022,,179.5,,,Ahero,,165.7,,,148.66,,,,
15th September 2022 –14th October 2022,,179.93,,,Ugunja,,166.13,,,149.1,,,,
15th September 2022 –14th October 2022,,179.57,,,Asembo,,165.78,,,148.75,,,,
15th September 2022 –14th October 2022,,180.06,,,Usenge,,166.26,,,149.22,,,,
15th September 2022 –14th October 2022,,179.54,,,Harambee,,165.75,,,148.71,,,,
15th September 2022 –14th October 2022,,181.31,,,Muhuru Bay,,167.52,,,150.48,,,,
15th September 2022 –14th October 2022,,181.54,,,Kehancha,,167.75,,,150.71,,,,
15th September 2022 –14th October 2022,,181.85,,,Ntimaru,,168.06,,,151.02,,,,
15th September 2022 –14th October 2022,,180.62,,,Rongo,,166.83,,,149.8,,,,
15th September 2022 –14th October 2022,,180.59,,,Kaspokwony,,166.8,,,149.75,,,,
15th September 2022 –14th October 2022,,180.53,,,Chwele,,166.74,,,149.7,,,,
15th September 2022 –14th October 2022,,180.46,,,Kimilili,,166.67,,,149.62,,,,
15th September 2022 –14th October 2022,,180.36,,,Nambale,,166.57,,,149.54,,,,
15th September 2022 –14th October 2022,,180.35,,,SioPort,,166.56,,,149.53,,,,
15th September 2022 –14th October 2022,,180.4,,,Port Bunyala,,166.61,,,149.57,,,,
15th September 2022 –14th October 2022,,180.22,,,Funyula,,166.43,,,149.4,,,,
15th September 2022 –14th October 2022,,180.53,,,Ogembo,,166.74,,,149.7,,,,
15th September 2022 –14th October 2022,,180.79,,,Nyangusu,,167.0,,,149.96,,,,
15th September 2022 –14th October 2022,,180.72,,,Sengera,,166.92,,,149.88,,,,
15th September 2022 –14th October 2022,,180.44,,,Keumbu,,166.64,,,149.61,,,,
15th September 2022 –14th October 2022,,180.14,,,Marani,,166.35,,,149.31,,,,
15th September 2022 –14th October 2022,,180.5,,,Kerina,,166.71,,,149.68,,,,
15th September 2022 –14th October 2022,,179.86,,,Ikonge,,166.07,,,149.03,,,,
15th September 2022 –14th October 2022,,180.26,,,Nyansiongo,,166.47,,,149.43,,,,
May 15th 2022 - June 14th 2022,,,128.76,116.69000000000001,,147.86,,,,,,Mombasa,,
May 15th 2022 - June 14th 2022,,,129.47,117.41000000000001,,148.57,,,,,,Kilifi,,
May 15th 2022 - June 14th 2022,,,129.11,117.05000000000001,,148.22,,,,,,Likoni Mainland,,
May 15th 2022 - June 14th 2022,,,129.11,117.05000000000001,,148.22,,,,,,Kwale,,
May 15th 2022 - June 14th 2022,,,129.67000000000002,117.61,,148.78,,,,,,Malindi,,
May 15th 2022 - June 14th 2022,,,129.83,117.76,,148.93,,,,,,Lungalunga,,
May 15th 2022 - June 14th 2022,,,130.24,118.17,,149.34,,,,,,Voi,,
May 15th 2022 - June 14th 2022,,,131.64,119.58000000000001,,150.75,,,,,,Taveta,,
May 15th 2022 - June 14th 2022,,,132.06,120.0,,151.16,,,,,,Lamu,,
May 15th 2022 - June 14th 2022,,,132.34,120.28,,151.45000000000002,,,,,,Hola,,
May 15th 2022 - June 14th 2022,,,132.06,120.0,,151.16,,,,,,Mpeketoni,,
May 15th 2022 - June 14th 2022,,,131.02,118.96000000000001,,150.13,,,,,,Minjila,,
May 15th 2022 - June 14th 2022,,,131.11,119.05000000000001,,150.22,,,,,,Garsen,,
May 15th 2022 - June 14th 2022,,,129.06,117.0,,148.16,,,,,,Samburu,,
May 15th 2022 - June 14th 2022,,,129.24,117.18,,148.34,,,,,,Taru,,
May 15th 2022 - June 14th 2022,,,130.57,118.51,,149.68,,,,,,Mwatate,,
May 15th 2022 - June 14th 2022,,,130.74,118.68,,149.84,,,,,,Wundanji,,
May 15th 2022 - June 14th 2022,,,128.92000000000002,116.85000000000001,,148.01000000000002,,,,,,Kaloleni,,
May 15th 2022 - June 14th 2022,,,130.34,118.27000000000001,,149.44,,,,,,Marereni,,
May 15th 2022 - June 14th 2022,,,131.0,118.94000000000001,,150.12,,,,,,Nairobi,,
May 15th 2022 - June 14th 2022,,,131.01,118.94000000000001,,150.12,,,,,,Thika,,
May 15th 2022 - June 14th 2022,,,131.24,119.18,,150.36,,,,,,Machakos,,
May 15th 2022 - June 14th 2022,,,131.42000000000002,119.36,,150.54,,,,,,Kajiado,,
May 15th 2022 - June 14th 2022,,,131.29000000000002,119.23,,150.41,,,,,,Makuyu,,
May 15th 2022 - June 14th 2022,,,131.52,119.46000000000001,,150.64000000000001,,,,,,Muranga,,
May 15th 2022 - June 14th 2022,,,131.75,119.68,,150.85,,,,,,Sagana,,
May 15th 2022 - June 14th 2022,,,132.10000000000002,120.04,,151.22,,,,,,Embu,,
May 15th 2022 - June 14th 2022,,,132.03,119.97,,151.14000000000001,,,,,,Kerugoya,,
May 15th 2022 - June 14th 2022,,,132.4,120.33000000000001,,151.5,,,,,,Narok,,
May 15th 2022 - June 14th 2022,,,132.37,120.31,,151.49,,,,,,Nyeri,,
May 15th 2022 - June 14th 2022,,,132.55,120.48,,151.66,,,,,,Namanga,,
May 15th 2022 - June 14th 2022,,,132.34,120.28,,151.46,,,,,,Kiganjo,,
May 15th 2022 - June 14th 2022,,,132.63,120.57000000000001,,151.75,,,,,,Chuka,,
May 15th 2022 - June 14th 2022,,,132.54000000000002,120.47,,151.65,,,,,,Kitui,,
May 15th 2022 - June 14th 2022,,,132.93,120.86,,152.03,,,,,,Mwingi,,
May 15th 2022 - June 14th 2022,,,132.94,120.87,,152.05,,,,,,Nanyuki,,
May 15th 2022 - June 14th 2022,,,133.91,121.84,,153.01000000000002,,,,,,Nkubu,,
May 15th 2022 - June 14th 2022,,,133.44,121.38000000000001,,152.55,,,,,,Mtito Andei,,
May 15th 2022 - June 14th 2022,,,134.1,122.04,,153.21,,,,,,Meru,,
May 15th 2022 - June 14th 2022,,,133.96,121.89,,153.07,,,,,,Isiolo,,
May 15th 2022 - June 14th 2022,,,134.56,122.49000000000001,,153.66,,,,,,Maua,,
May 15th 2022 - June 14th 2022,,,135.17,123.11,,154.29,,,,,,Garissa,,
May 15th 2022 - June 14th 2022,,,138.85,126.79,,157.97,,,,,,Marsabit,,
May 15th 2022 - June 14th 2022,,,137.94,125.87,,157.05,,,,,,Liboi,,
May 15th 2022 - June 14th 2022,,,140.44,128.37,,159.55,,,,,,Moyale,,
May 15th 2022 - June 14th 2022,,,139.49,127.43,,158.61,,,,,,Sololo,,
May 15th 2022 - June 14th 2022,,,137.85999999999999,125.80000000000001,,156.98000000000002,,,,,,Habaswein,,
May 15th 2022 - June 14th 2022,,,136.55,124.49000000000001,,155.67000000000002,,,,,,Dadaab,,
May 15th 2022 - June 14th 2022,,,140.12,128.04000000000002,,159.22,,,,,,Tarbaj,,
May 15th 2022 - June 14th 2022,,,141.72,129.65,,160.83,,,,,,Elwak,,
May 15th 2022 - June 14th 2022,,,140.27,128.21,,159.38,,,,,,Wajir,,
May 15th 2022 - June 14th 2022,,,138.0,125.94000000000001,,157.12,,,,,,Modogashe,,
May 15th 2022 - June 14th 2022,,,144.05,131.98000000000002,,163.15,,,,,,Mandera,,
May 15th 2022 - June 14th 2022,,,131.9,119.84,,151.02,,,,,,Matuu,,
May 15th 2022 - June 14th 2022,,,136.35,124.29,,155.46,,,,,,Merti,,
May 15th 2022 - June 14th 2022,,,133.36,121.29,,152.47,,,,,,Oldonyiro,,
May 15th 2022 - June 14th 2022,,,142.04,129.98000000000002,,161.16,,,,,,Eldas,,
May 15th 2022 - June 14th 2022,,,139.08,127.02000000000001,,158.19,,,,,,Bute,,
May 15th 2022 - June 14th 2022,,,137.67,125.60000000000001,,156.78,,,,,,Hadado,,
May 15th 2022 - June 14th 2022,,,131.12,119.06,,150.24,,,,,,Mai Mahiu,,
May 15th 2022 - June 14th 2022,,,133.7,121.63000000000001,,152.81,,,,,,Doldo,,
May 15th 2022 - June 14th 2022,,,132.82,120.75,,151.93,,,,,,Lamuria,,
May 15th 2022 - June 14th 2022,,,133.52,121.46000000000001,,152.63,,,,,,Rumuruti,,
May 15th 2022 - June 14th 2022,,,133.68,121.62,,152.8,,,,,,Sipili,,
May 15th 2022 - June 14th 2022,,,133.31,121.25,,152.42000000000002,,,,,,Marimanti,,
May 15th 2022 - June 14th 2022,,,132.65,120.58000000000001,,151.76000000000002,,,,,,Mutuobare,,
May 15th 2022 - June 14th 2022,,,139.82,127.75,,158.93,,,,,,North Horr,,
May 15th 2022 - June 14th 2022,,,138.43,126.37,,157.55,,,,,,Maikona,,
May 15th 2022 - June 14th 2022,,,138.97,126.91000000000001,,158.09,,,,,,Kalacha,,
May 15th 2022 - June 14th 2022,,,139.04,126.97,,158.15,,,,,,Loyangalani,,
May 15th 2022 - June 14th 2022,,,138.84,126.78,,157.96,,,,,,Turbi,,
May 15th 2022 - June 14th 2022,,,136.06,123.98,,155.16,,,,,,Laisamis,,
May 15th 2022 - June 14th 2022,,,135.75,123.69000000000001,,154.87,,,,,,Merille,,
May 15th 2022 - June 14th 2022,,,137.0,124.93,,156.11,,,,,,Korr,,
May 15th 2022 - June 14th 2022,,,130.83,118.79,,149.64000000000001,,,,,,Nakuru,,
May 15th 2022 - June 14th 2022,,,130.79000000000002,118.76,,149.61,,,,,,Gilgil,,
May 15th 2022 - June 14th 2022,,,130.78,118.74000000000001,,149.6,,,,,,Mogotio,,
May 15th 2022 - June 14th 2022,,,130.86,118.83000000000001,,149.69,,,,,,Molo,,
May 15th 2022 - June 14th 2022,,,131.56,119.53,,150.39000000000001,,,,,,Olenguruone,,
May 15th 2022 - June 14th 2022,,,131.09,119.05000000000001,,149.9,,,,,,Londiani,,
May 15th 2022 - June 14th 2022,,,131.08,119.04,,149.89000000000001,,,,,,Nyahururu,,
May 15th 2022 - June 14th 2022,,,134.06,122.03,,152.88,,,,,,Archers Post,,
May 15th 2022 - June 14th 2022,,,135.16,123.13000000000001,,153.98000000000002,,,,,,Lodosoit,,
May 15th 2022 - June 14th 2022,,,131.15,119.11,,149.97,,,,,,Naivasha,,
May 15th 2022 - June 14th 2022,,,131.55,119.51,,150.38,,,,,,Marigat,,
May 15th 2022 - June 14th 2022,,,132.04000000000002,120.01,,150.86,,,,,,Kabarnet ,,
May 15th 2022 - June 14th 2022,,,133.13,121.10000000000001,,151.95000000000002,,,,,,Maralal,,
May 15th 2022 - June 14th 2022,,,133.97,121.93,,152.79,,,,,,Wamba,,
May 15th 2022 - June 14th 2022,,,131.72,119.67,,150.53,,,,,,Eldoret,,
May 15th 2022 - June 14th 2022,,,131.72,119.67,,150.53,,,,,,Kiplombe,,
May 15th 2022 - June 14th 2022,,,131.72,119.67,,150.53,,,,,,Iten,,
May 15th 2022 - June 14th 2022,,,131.72,119.67,,150.53,,,,,,Naiberi,,
May 15th 2022 - June 14th 2022,,,131.72,119.67,,150.53,,,,,,Kesses,,
May 15th 2022 - June 14th 2022,,,131.74,119.68,,150.54,,,,,,Kapsabet,,
May 15th 2022 - June 14th 2022,,,132.15,120.10000000000001,,150.95000000000002,,,,,,Webuye,,
May 15th 2022 - June 14th 2022,,,132.08,120.03,,150.89000000000001,,,,,,Kitale,,
May 15th 2022 - June 14th 2022,,,132.72,120.67,,151.52,,,,,,Kapenguria ,,
May 15th 2022 - June 14th 2022,,,132.48000000000002,120.44000000000001,,151.3,,,,,,Bungoma,,
May 15th 2022 - June 14th 2022,,,131.74,119.68,,150.54,,,,,,Moiben,,
May 15th 2022 - June 14th 2022,,,131.7,119.66000000000001,,150.52,,,,,,Matunda,,
May 15th 2022 - June 14th 2022,,,131.67000000000002,119.62,,150.48000000000002,,,,,,Burnt Forest,,
May 15th 2022 - June 14th 2022,,,131.76,119.71000000000001,,150.57,,,,,,Tambach,,
May 15th 2022 - June 14th 2022,,,132.22,120.18,,151.04,,,,,,Kapsowar,,
May 15th 2022 - June 14th 2022,,,132.10000000000002,120.06,,150.92000000000002,,,,,,Chebara,,
May 15th 2022 - June 14th 2022,,,132.03,119.99000000000001,,150.84,,,,,,Kimwarer,,
May 15th 2022 - June 14th 2022,,,131.95,119.9,,150.77,,,,,,Timboroa,,
May 15th 2022 - June 14th 2022,,,131.91000000000003,119.87,,150.72,,,,,,Nandi Hills,,
May 15th 2022 - June 14th 2022,,,131.77,119.73,,150.58,,,,,,Kaiboi,,
May 15th 2022 - June 14th 2022,,,132.27,120.21000000000001,,151.07,,,,,,Kiminini,,
May 15th 2022 - June 14th 2022,,,132.61,120.57000000000001,,151.43,,,,,,Endebes,,
May 15th 2022 - June 14th 2022,,,132.29000000000002,120.25,,151.1,,,,,,Saboti,,
May 15th 2022 - June 14th 2022,,,132.93,120.87,,151.73000000000002,,,,,,Chepareria,,
May 15th 2022 - June 14th 2022,,,134.53,122.49000000000001,,153.35,,,,,,Lomut,,
May 15th 2022 - June 14th 2022,,,133.34,121.29,,152.15,,,,,,Burgich,,
May 15th 2022 - June 14th 2022,,,133.47,121.42,,152.28,,,,,,Sigor,,
May 15th 2022 - June 14th 2022,,,135.9,123.85000000000001,,154.71,,,,,,Lodwar,,
May 15th 2022 - June 14th 2022,,,137.49,125.44000000000001,,156.3,,,,,,Kakuma,,
May 15th 2022 - June 14th 2022,,,134.9,122.85000000000001,,153.71,,,,,,Lokichar,,
May 15th 2022 - June 14th 2022,,,136.66,124.61,,155.47,,,,,,Kalokol,,
May 15th 2022 - June 14th 2022,,,135.27,123.22,,154.07,,,,,,Lokori,,
May 15th 2022 - June 14th 2022,,,139.55,127.49000000000001,,158.35,,,,,,Lokitaung,,
May 15th 2022 - June 14th 2022,,,134.53,122.49000000000001,,153.35,,,,,,Kapedo,,
May 15th 2022 - June 14th 2022,,,132.88,120.84,,151.70000000000002,,,,,,Malaba,,
May 15th 2022 - June 14th 2022,,,138.68,126.63000000000001,,157.48000000000002,,,,,,Lokichogio,,
May 15th 2022 - June 14th 2022,,,131.91000000000003,119.87,,150.72,,,,,,Ziwa,,
May 15th 2022 - June 14th 2022,,,131.72,119.67,,150.53,,,,,,Soy,,
May 15th 2022 - June 14th 2022,,,131.78,119.74000000000001,,150.59,,,,,,Moi's Bridge,,
May 15th 2022 - June 14th 2022,,,131.67000000000002,119.62,,150.48000000000002,,,,,,Turbo,,
May 15th 2022 - June 14th 2022,,,139.77,127.73,,158.59,,,,,,Kibish,,
May 15th 2022 - June 14th 2022,,,138.6,126.55000000000001,,157.41,,,,,,Nakalale,,
May 15th 2022 - June 14th 2022,,,135.02,122.97,,153.82,,,,,,Loima,,
May 15th 2022 - June 14th 2022,,,136.59,124.53,,155.39000000000001,,,,,,Lokiriama,,
May 15th 2022 - June 14th 2022,,,133.79,121.74000000000001,,152.6,,,,,,Kainuk,,
May 15th 2022 - June 14th 2022,,,133.12,121.07000000000001,,151.92000000000002,,,,,,Kacheliba,,
May 15th 2022 - June 14th 2022,,,133.72,121.68,,152.54,,,,,,Kiwawa,,
May 15th 2022 - June 14th 2022,,,133.31,121.26,,152.12,,,,,,Ortum,,
May 15th 2022 - June 14th 2022,,,132.10000000000002,120.06,,150.92000000000002,,,,,,Kachibora,,
May 15th 2022 - June 14th 2022,,,132.82,120.78,,151.63,,,,,,Kwanza,,
May 15th 2022 - June 14th 2022,,,132.14,120.08000000000001,,150.94,,,,,,Kaplamai,,
May 15th 2022 - June 14th 2022,,,132.55,120.51,,151.36,,,,,,Eldama Ravine,,
May 15th 2022 - June 14th 2022,,,132.69,120.65,,151.5,,,,,,Tenges,,
May 15th 2022 - June 14th 2022,,,132.81,120.75,,151.62,,,,,,Barwessa,,
May 15th 2022 - June 14th 2022,,,133.71,121.66000000000001,,152.52,,,,,,Kipsaraman,,
May 15th 2022 - June 14th 2022,,,133.58,121.53,,152.39000000000001,,,,,,Loruk,,
May 15th 2022 - June 14th 2022,,,132.55,120.51,,151.36,,,,,,Kabartonjo,,
May 15th 2022 - June 14th 2022,,,132.61,120.57000000000001,,151.43,,,,,,Tindiret,,
May 15th 2022 - June 14th 2022,,,131.78,119.74000000000001,,150.59,,,,,,O'lessos,,
May 15th 2022 - June 14th 2022,,,132.19,120.14,,150.99,,,,,,Kobujoi,,
May 15th 2022 - June 14th 2022,,,132.27,120.21000000000001,,151.07,,,,,,Serem,,
May 15th 2022 - June 14th 2022,,,131.72,119.67,,150.53,,,,,,Kabiyet,,
May 15th 2022 - June 14th 2022,,,132.15,120.10000000000001,,150.95000000000002,,,,,,Cheptulu,,
May 15th 2022 - June 14th 2022,,,132.69,120.65,,151.5,,,,,,Songor,,
May 15th 2022 - June 14th 2022,,,132.33,120.28,,151.13,,,,,,Kapcherop,,
May 15th 2022 - June 14th 2022,,,133.01,120.97,,151.82,,,,,,Sambalat,,
May 15th 2022 - June 14th 2022,,,132.67000000000002,120.61,,151.47,,,,,,Arror,,
May 15th 2022 - June 14th 2022,,,132.87,120.82000000000001,,151.68,,,,,,Tot,,
May 15th 2022 - June 14th 2022,,,131.91000000000003,119.87,,150.72,,,,,,Kaptarakwa,,
May 15th 2022 - June 14th 2022,,,134.85999999999999,122.82000000000001,,153.67000000000002,,,,,,Kapese,,
May 15th 2022 - June 14th 2022,,,134.25,122.21000000000001,,153.07,,,,,,Kalemngorok,,
May 15th 2022 - June 14th 2022,,,133.24,121.19000000000001,,152.04,,,,,,Marich,,
May 15th 2022 - June 14th 2022,,,133.72,121.68,,152.54,,,,,,Alale,,
May 15th 2022 - June 14th 2022,,,133.39,121.34,,152.19,,,,,,Kunyao,,
May 15th 2022 - June 14th 2022,,,132.98000000000002,120.93,,151.78,,,,,,Asilong,,
May 15th 2022 - June 14th 2022,,,133.01,120.97,,151.82,,,,,,Orolwo,,
May 15th 2022 - June 14th 2022,,,132.96,120.92,,151.77,,,,,,Sebit,,
May 15th 2022 - June 14th 2022,,,132.87,120.82000000000001,,151.68,,,,,,Morpus,,
May 15th 2022 - June 14th 2022,,,132.75,120.71000000000001,,151.57,,,,,,Chepkorniswo,,
May 15th 2022 - June 14th 2022,,,132.7,120.66000000000001,,151.51000000000002,,,,,,Kaibichbich,,
May 15th 2022 - June 14th 2022,,,132.43,120.39,,151.24,,,,,,Keringet,,
May 15th 2022 - June 14th 2022,,,131.7,119.66000000000001,,150.53,,,,,,Kisumu,,
May 15th 2022 - June 14th 2022,,,131.8,119.77000000000001,,150.64000000000001,,,,,,Sondu,,
May 15th 2022 - June 14th 2022,,,132.29000000000002,120.25,,151.11,,,,,,Oyugis,,
May 15th 2022 - June 14th 2022,,,131.75,119.72,,150.58,,,,,,Kakamega,,
May 15th 2022 - June 14th 2022,,,132.03,119.99000000000001,,150.86,,,,,,Mumias,,
May 15th 2022 - June 14th 2022,,,131.91000000000003,119.88000000000001,,150.75,,,,,,Bondo,,
May 15th 2022 - June 14th 2022,,,132.04000000000002,120.0,,150.86,,,,,,Siaya,,
May 15th 2022 - June 14th 2022,,,132.21,120.17,,151.05,,,,,,Kericho,,
May 15th 2022 - June 14th 2022,,,132.28,120.24000000000001,,151.1,,,,,,Nyamira,,
May 15th 2022 - June 14th 2022,,,132.58,120.55000000000001,,151.41,,,,,,Kisii,,
May 15th 2022 - June 14th 2022,,,132.42000000000002,120.38000000000001,,151.24,,,,,,Sotik,,
May 15th 2022 - June 14th 2022,,,132.60000000000002,120.56,,151.43,,,,,,Keroka,,
May 15th 2022 - June 14th 2022,,,132.57,120.54,,151.4,,,,,,Busia,,
May 15th 2022 - June 14th 2022,,,132.52,120.48,,151.35,,,,,,Homabay,,
May 15th 2022 - June 14th 2022,,,133.37,121.34,,152.20000000000002,,,,,,Migori,,
May 15th 2022 - June 14th 2022,,,133.66,121.62,,152.48000000000002,,,,,,Isebania,,
May 15th 2022 - June 14th 2022,,,132.82,120.78,,151.64000000000001,,,,,,Bomet,,
May 15th 2022 - June 14th 2022,,,131.93,119.9,,150.77,,,,,,Muhoroni,,
May 15th 2022 - June 14th 2022,,,132.5,120.47,,151.34,,,,,,Mbita,,
May 15th 2022 - June 14th 2022,,,131.7,119.66000000000001,,150.53,,,,,,Mbale,,
May 15th 2022 - June 14th 2022,,,133.15,121.12,,151.99,,,,,,Etago,,
May 15th 2022 - June 14th 2022,,,133.26,121.22,,152.08,,,,,,Magenche,,
May 15th 2022 - June 14th 2022,,,133.09,121.06,,151.92000000000002,,,,,,Kilgoris,,
May 15th 2022 - June 14th 2022,,,132.06,120.03,,150.9,,,,,,Malava,,
May 15th 2022 - June 14th 2022,,,132.45,120.42,,151.29,,,,,,Lugari,,
May 15th 2022 - June 14th 2022,,,132.58,120.55000000000001,,151.41,,,,,,Rodi Kopany,,
May 15th 2022 - June 14th 2022,,,132.86,120.82000000000001,,151.68,,,,,,Ndhiwa,,
May 15th 2022 - June 14th 2022,,,132.57,120.54,,151.4,,,,,,Rangwe,,
May 15th 2022 - June 14th 2022,,,132.58,120.55000000000001,,151.41,,,,,,Sindo,,
May 15th 2022 - June 14th 2022,,,131.66000000000003,119.63000000000001,,150.5,,,,,,Awasi,,
May 15th 2022 - June 14th 2022,,,131.7,119.66000000000001,,150.53,,,,,,Ahero,,
May 15th 2022 - June 14th 2022,,,132.13,120.10000000000001,,150.96,,,,,,Ugunja,,
May 15th 2022 - June 14th 2022,,,131.78,119.75,,150.62,,,,,,Asembo,,
May 15th 2022 - June 14th 2022,,,132.26,120.22,,151.09,,,,,,Usenge,,
May 15th 2022 - June 14th 2022,,,131.75,119.71000000000001,,150.57,,,,,,Harambee,,
May 15th 2022 - June 14th 2022,,,133.52,121.48,,152.34,,,,,,Muhuru Bay,,
May 15th 2022 - June 14th 2022,,,133.75,121.71000000000001,,152.58,,,,,,Kehancha,,
May 15th 2022 - June 14th 2022,,,134.06,122.02000000000001,,152.88,,,,,,Ntimaru,,
May 15th 2022 - June 14th 2022,,,132.83,120.80000000000001,,151.66,,,,,,Rongo,,
May 15th 2022 - June 14th 2022,,,132.8,120.75,,151.62,,,,,,Kaspokwony,,
May 15th 2022 - June 14th 2022,,,132.74,120.7,,151.57,,,,,,Chwele,,
May 15th 2022 - June 14th 2022,,,132.67000000000002,120.62,,151.49,,,,,,Kimilili,,
May 15th 2022 - June 14th 2022,,,132.57,120.54,,151.4,,,,,,Nambale,,
May 15th 2022 - June 14th 2022,,,132.56,120.53,,151.39000000000001,,,,,,SioPort,,
May 15th 2022 - June 14th 2022,,,132.61,120.57000000000001,,151.44,,,,,,Port Bunyala,,
May 15th 2022 - June 14th 2022,,,132.43,120.4,,151.26000000000002,,,,,,Funyula,,
May 15th 2022 - June 14th 2022,,,132.74,120.7,,151.57,,,,,,Ogembo,,
May 15th 2022 - June 14th 2022,,,133.0,120.96000000000001,,151.83,,,,,,Nyangusu,,
May 15th 2022 - June 14th 2022,,,132.92000000000002,120.88000000000001,,151.75,,,,,,Sengera,,
May 15th 2022 - June 14th 2022,,,132.64,120.61,,151.48000000000002,,,,,,Keumbu,,
May 15th 2022 - June 14th 2022,,,132.35000000000002,120.31,,151.18,,,,,,Marani,,
May 15th 2022 - June 14th 2022,,,132.71,120.68,,151.54,,,,,,Kerina,,
May 15th 2022 - June 14th 2022,,,132.07,120.03,,150.9,,,,,,Ikonge,,
May 15th 2022 - June 14th 2022,,,132.47,120.43,,151.3,,,,,,Nyansiongo,,
July 15th 2023 - August 14th 2023,,,176.62809465783778,166.43257515391258,,191.62363663934664,,,,,,Mombasa,,
July 15th 2023 - August 14th 2023,,,177.3980164837706,167.1924969798454,,192.39355846527945,,,,,,Kilifi,,
July 15th 2023 - August 14th 2023,,,177.01809465783776,166.81257515391255,,192.0036366393466,,,,,,Likoni Mainland,,
July 15th 2023 - August 14th 2023,,,177.01809465783776,166.81257515391255,,192.0036366393466,,,,,,Kwale,,
July 15th 2023 - August 14th 2023,,,177.6196186844019,167.4140991804767,,192.61516066591076,,,,,,Malindi,,
July 15th 2023 - August 14th 2023,,,177.77801648377059,167.57249697984537,,192.77355846527945,,,,,,Lungalunga,,
July 15th 2023 - August 14th 2023,,,178.21454959859852,168.00903009467334,,193.2100915801074,,,,,,Voi,,
July 15th 2023 - August 14th 2023,,,179.72983959039928,169.5243200864741,,194.72538157190814,,,,,,Taveta,,
July 15th 2023 - August 14th 2023,,,180.1730439916619,169.9675244877367,,195.16858597317076,,,,,,Lamu,,
July 15th 2023 - August 14th 2023,,,180.47649701752994,170.28097751360477,,195.47203899903883,,,,,,Hola,,
July 15th 2023 - August 14th 2023,,,180.1730439916619,169.9675244877367,,195.16858597317076,,,,,,Mpeketoni,,
July 15th 2023 - August 14th 2023,,,179.06503298850535,168.85951348458016,,194.06057497001424,,,,,,Minjila,,
July 15th 2023 - August 14th 2023,,,179.1588589512816,168.9533394473564,,194.15440093279045,,,,,,Garsen,,
July 15th 2023 - August 14th 2023,,,176.95481208250797,166.74929257858278,,191.95035406401684,,,,,,Samburu,,
July 15th 2023 - August 14th 2023,,,177.1424640080604,166.9469445041352,,192.13800598956925,,,,,,Taru,,
July 15th 2023 - August 14th 2023,,,178.5759031746244,168.3703836706992,,193.57144515613325,,,,,,Mwatate,,
July 15th 2023 - August 14th 2023,,,178.7615799626373,168.55606045871212,,193.7471219441462,,,,,,Wundanji,,
July 15th 2023 - August 14th 2023,,,176.80308556957397,166.59756606564875,,191.7886275510828,,,,,,Kaloleni,,
July 15th 2023 - August 14th 2023,,,178.33035069891417,168.12483119498899,,193.31589268042305,,,,,,Marereni,,
July 15th 2023 - August 14th 2023,,,179.6673895038655,169.48307232165826,,194.68197352979774,,,,,,Nairobi,,
July 15th 2023 - August 14th 2023,,,179.6686787651282,169.48436158292097,,194.68326279106046,,,,,,Thika,,
July 15th 2023 - August 14th 2023,,,179.92423124083842,169.72991405863118,,194.9388152667707,,,,,,Machakos,,
July 15th 2023 - August 14th 2023,,,180.1118831663908,169.9275659841836,,195.12646719232308,,,,,,Kajiado,,
July 15th 2023 - August 14th 2023,,,179.97213179099623,169.787814608789,,194.9967158169285,,,,,,Makuyu,,
July 15th 2023 - August 14th 2023,,,180.2276842667065,170.03336708449922,,195.24226829263873,,,,,,Muranga,,
